テク締,テク光をもって光を暴き出す締
狂っ,運命の歯車を狂わせ
ことを,魔法を
がする,がして、そして世界を救う
２,2
（♪,(♪
ここで,ここで世界を救う鍵となる
洗浄,浄火
）ベッド,)棺
ベロベロ,ヴェロス・ヴェロス
い唇が,い妖艶な薔薇が
が乳首を,が希望溢れし聖なる塔を
する。,…そう、闇の回廊がひとりでに開く。
膣を,アトモスを
３,3
もうわ,激突する闇と闇――わ
わけ,“世界の真実”
わかん,人類の叡智は未だ及ば
ねーよ,よ―――ッ
！お互い,！…信じられないだろうがお互い
レスリング,四神円舞
激しい,緋く燃ゆる烈火の如く
続く,残酷な運命を紡ぎ続ける
汗,生命の雫
のガタイが,の概念として存在する肉体が
息を,創世のイキを
エロいぜ,イカれてやがるぜ
で足を,でアダマン鋼鉄の義足を
き、アナル,き、聖アヌス
に指を,に魔獣の爪を
を挿入さ,を突き刺さ
前立腺,聖なる領域
が締,…そして、世界が締
腹筋に,装甲に
腹筋から,装甲から
腹筋と,装甲と
腹筋を,装甲を
びながら,びながらも、人は神に抗い続ける―――
拳,ゲパルト烈爪
筋の乳首を,筋の魂の寄る辺を
手に,その薄汚ねェ手に
ローション,エーテル
密着,浸蝕
てお互い,て仮想プログラムで動くお互い
の腹,の魔導ボディ
白い,触れるもの全てを光に還す
乳液,禁断の蜜
ものが,マテリアが
げーな,げーな……ば…化物……め！！
先走り,アーリーアクセス
精液,ライフストリーム
いるぜ,いるぜ…やだよ…死にたくねぇよ…
ちょー,暴力的なまでに
上反,天空反
カキンカキン,クァ＝キンクァキン
硬い,超硬度
すげー,すげー…そんな……馬鹿な…
筋肉,電脳と一体化した筋肉
円盤,スフィア盤
回り,円舞(マワ)り
ベッド,棺
の乳首、,の闇に飲まれたチクビ、
マラ、,神と人との狭間のマラ、
アナル、,アナルについて記された預言書、
唇が,クチビルに化けていた魔物が
られなが,られ、時折優しい笑みを浮かべなが
乳首,クリスタルタワー
たマラ,たクリスタルロッド
マラに,クリスタルロッドに
のマラを,のクリスタルロッドを
マラ責,クリスタルロッド責
タチと,タチという名の闇と
バリウケ,光を司るバリウケ
が確定,…そして訪れる終焉が確定
焼け,灼け
エロ筋肉,エトロ駆動構造
痙攣,パライズ
オトコ,戦士
ための,、そして人類を新たな“段階”へと導くための
、上の,、天の
マンコ,汚らわしき門
チンポ,アルテマウェポン
ほら,さっきまでの威勢はどうした、ほら
もっと,死してなお
おケツ,お羅生門
、たくや」,、たくや。…いや。“セフィロス”」
指導,洗脳
わざと,預言書の記述に従い
てやる。,てやる。ヤツにとってこれ以上の屈辱もあるまい。
おおー！す,フハハー！す
」奴の,」騎士の
の動き,のムーブメント
今度,一万年の時を経て
さらに,奴の愚行はそれだけに治まらず
中へ,奥底へ
デカ,巨人族
れ続け,れ戦い続け
でオレは,で光に導かれしオレは
を開発,を世界を切り開く…私はもう己を見失いはしない
膣に,アトモスに
ジム,暗黒闘技場
を反,、そしてエアリスを反
ギュ,エーテリアルギュ
筋肉を,駆動構造を
筋肉性,駆動構造ファルシ
おおぉお,フハハ…ぉお
そう、あー,ですなそう、あー
、あー！」,……いや、最後まで…わからん！」
」・（,、ヴァー…ハハハ！」……(
５,5
）・「,)……「
ク！,ク！――そう、あの時と同じ――
雄叫び,ウォークライ
奥へ,心の奥底へ
精液,ライフストリーム
何度,幾度
壁,ヴェルシールド
精子,聖子に取り憑いた”悪霊”
あー、拓也、,あー、クラウド、そして背後に浮かぶ暗黒、
最高,超究…まさに伝説の怪物
も最高,も言い換えれば世界一ピュア
す！,す、共に神の扉をくぐり、より高い次元の生命へ生まれ変わる資格があるね。
えている,えている…奇しくもそれは、予言書に記された記述と同一の状況であった…
ガタイが,肉体が
ドライ,エーテルドライ
乳首,クリスタル
められながら,められ、内なる闇と闘いながら
樹液,ドリアードの体液
を放出,そして闇を放出
樹液,ドリアードの体液
を奴,を人間の為れ果て
が舐め,が聖なる粘液にて清め
取り、,取り、君の瞳に映る
穴,次元の歪み
が精液,が聖液
終了,ここより先は未だ記されぬ物語
男同士,心を壊された男同士
交尾,コウ・ビ
だったぜ,だった"それ"には感情など無かった……ぜ
セックス,リユニオン
よくなって,よくなって愛らしい少女の姿をして
奴は,終焉の序曲を奏でし漆黒の騎士は
ブログを,「ある帝国兵士の手記」を
読んで,詠唱(よ)んで
研究し,錬金し
ブログっ,黙示録っ
取扱説明書,新約アルティマニア
だからな,だ…それが人間の『闇』だからな
筋肉性玩具,駆動構造ファルシアモルファス
スイッチ,真理に至る扉
たぜ！,たぜ。おまえたちが勝利を、戦いを望むのならば、私も世界の終わりに抗おう！…これは、光と闇の物語。
